;date;location;depth;wet_cyl_field_g;wet_cyl_lab_g;dry_cyl_lab_g;cyl_g
0;5/8/2013;Center; 0-5cm;223.0;131.08;105.72;
1;5/8/2013;Center; 5-10cm;219.0;222.82;198.96;95.94
2;5/8/2013;Center;10-15cm;262.0;265.99;238.09;96.01
3;5/8/2013;Center;15-20cm;265.0;268.8;238.22;96.0
4;5/8/2013;Center;20-25cm;253.0;257.16;235.74;96.08
5;5/8/2013;Center;25-30cm;;;;
6;5/8/2013;A1;0-5cm;;;;
7;5/8/2013;A1;5-10cm;215.0;217.7;191.74;95.99
8;5/8/2013;A1;10-15cm;222.0;224.51;199.0;95.92
9;5/8/2013;A1;15-20cm;218.0;219.92;191.63;96.16
10;5/8/2013;A1;20-25cm;214.0;216.32;187.65;96.09
11;5/8/2013;A1;25-30cm;233.0;236.1;200.56;96.06
12;5/8/2013;A2;0-5cm;202.0;205.9;167.56;95.98
13;5/8/2013;A2;5-10cm;218.0;222.42;189.7;96.11
14;5/8/2013;A2;10-15cm;232.0;238.46;209.51;96.05
15;5/8/2013;A2;15-20cm;215.0;127.65;105.1;
16;5/8/2013;A2;20-25cm;221.0;227.08;204.08;96.1
17;5/8/2013;A2;25-30cm;;;;
18;5/8/2013;A3;0-5cm;217.0;216.81;190.3;95.97
19;5/8/2013;A3;5-10cm;229.0;229.13;201.1;96.11
20;5/8/2013;A3;10-15cm;244.0;243.43;213.84;96.07
21;5/8/2013;A3;15-20cm;235.0;234.73;209.41;96.14
22;5/8/2013;A3;20-25cm;245.0;245.23;215.87;96.12
23;5/8/2013;A3;25-30cm;240.0;239.67;212.64;96.1
24;5/8/2013;A4;0-5cm ;204.0;207.5;184.24;96.04
25;5/8/2013;A4;5-10cm;227.0;227.88;201.95;96.1
26;5/8/2013;A4;10-15cm ;194.0;99.23;86.43;
27;5/8/2013;A4;15-20cm;264.0;265.52;234.56;95.99
28;5/8/2013;A4;20-25cm ;240.0;241.26;213.97;96.05
29;5/8/2013;A4;25-30cm ;258.0;258.81;230.34;95.95
30;5/8/2013;B1;0-5cm;221.0;220.64;197.77;96.04
31;5/8/2013;B1;5-10cm;245.0;245.71;219.01;96.04
32;5/8/2013;B1;10-15cm;243.0;244.76;217.71;96.06
