#      STATION: JUNG, JUNG1, DRBS, KIEL, KIEL2
#   START TIME: 2010-01-01 00:00:00 UTC
#     END TIME: 2019-02-27 06:00:00 UTC
#   NMDB TABLE: 1 hour validated
#    DATA TYPE: corr_for_efficiency
#    AVERAGING: Yes / 6 hours
# ORIGINAL RES: 60 min
#________________________________________________________________________
#
# Timestamps always correspond to the beginning of the time interval
#________________________________________________________________________
#
# _______________________________________________________________________________________
#| Data retrieved via NMDB are the property of the individual data providers. These data |
#| are free for non commercial use to within the restriction imposed by the providers.   |
#| If you use such data for your research or applications, please acknowledge the origin |
#| by a sentence like 'We acknowledge the NMDB database (www.nmdb.eu) founded under the  |
#| European Union's FP7 programme (contract no. 213007), and the PIs of individual neu-  |
#| tron monitors for providing data.' and acknowledge the individual monitors following  |
#| the information given on the respective station information pages:                    |
#| - http://station.nmdb.eu/jung                                                         |
#| - http://station.nmdb.eu/jung1                                                        |
#| - http://station.nmdb.eu/drbs                                                         |
#| - http://station.nmdb.eu/kiel                                                         |
#| - http://station.nmdb.eu/kiel2                                                        |
#|_______________________________________________________________________________________|
#
datetime;JUNG;JUNG1;DRBS;KIEL;KIEL2
2010-01-01 00:00:00;168.839;396.262;115.620;182.344;   null
2010-01-01 06:00:00;170.389;398.503;   null;183.750;   null
2010-01-01 12:00:00;169.094;394.820;   null;182.454;   null
2010-01-01 18:00:00;167.714;390.362;   null;181.456;   null
2010-01-02 00:00:00;167.750;391.708;115.643;180.778;   null
2010-01-02 06:00:00;167.576;390.127;115.601;182.339;   null
2010-01-02 12:00:00;166.893;389.244;115.284;180.829;   null
2010-01-02 18:00:00;166.830;390.629;115.272;179.689;   null
2010-01-03 00:00:00;167.950;392.181;115.595;179.965;   null
2010-01-03 06:00:00;168.704;394.591;116.192;181.546;   null
2010-01-03 12:00:00;168.442;394.403;116.433;182.061;   null
2010-01-03 18:00:00;167.603;392.444;115.278;180.778;   null
2010-01-04 00:00:00;168.220;394.134;115.752;181.111;   null
2010-01-04 06:00:00;169.038;395.467;115.998;181.062;   null
2010-01-04 12:00:00;168.906;395.093;116.052;182.287;   null
2010-01-04 18:00:00;169.207;395.925;115.480;181.194;   null
2010-01-05 00:00:00;168.672;395.010;115.562;181.771;   null
2010-01-05 06:00:00;169.744;396.877;115.906;182.383;   null
