id,institution,type,lon,lat,hasdata,hascal,calstart,calend,mincph,maxcph,sens_mq,sens_fendt,sensitivity,sens_comment,usedata,N0
1,UP,CRS 2000-B,11.0643953549184,47.8254639760331,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,1300,2100,1.19,,1.19,1 x calibrator,True,3338
2,UP,CRS 1000,11.061650928218,47.8266196959206,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,600,1100,0.452,,0.452,1 x calibrator,True,3493
3,UP,CRS 1000,11.05949364,47.8316768600001,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,600,1100,0.458,,0.458,cross-cal with #4,True,3611
4,UP,Lab-C,11.0614571,47.82390832,True,True,2019-05-28 09:45:00,2019-05-29 09:25:00,6000,9500,4.544,4.515,4.53,2 x calibrator,True,3572
5,KIT,CRS 1000-B,11.0633101589663,47.8287517391426,True,True,2019-05-29 12:20:00,2019-05-31 08:35:00,800,1500,,0.67,0.67,1 x calibrator,True,3460
6,KIT,CRS 1000-B,11.0644910032649,47.8225196707391,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,800,1500,,,0.668,type average,True,3534
7,KIT,CRS 1000-B,11.05996042,47.8281839800001,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,1000,1700,,,0.668,type average,True,3784
8,KIT,CRS 2000-B,11.06048659,47.83247821,True,True,2019-06-04 16:00:00,2019-06-05 11:53:00,1300,2500,,1.161,1.161,1 x calibrator,True,3501
9,UFZ,Styx Neutronica,11.06656156,47.8289346400001,False,True,2019-07-09 10:33:00,2019-07-10 13:08:00,-9999,-9999,,,1,None,False,
10,UFZ,Styx Neutronica,11.0705443000001,47.8292980300001,False,False,1900-01-01 00:00:00,1900-01-01 00:00:00,-9999,-9999,,,1,None,False,
11,UFZ,Styx Neutronica,11.0591788733693,47.8257533046636,False,False,1900-01-01 00:00:00,1900-01-01 00:00:00,-9999,-9999,,,1,None,False,
12,UFZ,Styx Neutronica,11.06292481,47.8299914,False,True,2019-06-25 12:21:00,2019-06-26 16:19:00,-9999,-9999,,,1,None,False,
13,UFZ,Styx Neutronica,11.06594527,47.8304006500001,True,True,2019-07-03 09:05:00,2019-07-04 13:27:00,-9999,-9999,,0.984,0.984,1 x calibrator,True,3572
14,UFZ,CRS 2000,11.0691440887968,47.8316114304679,True,True,2019-05-27 09:00:00,2019-05-28 09:30:00,900,1600,,0.871,0.871,1 x calibrator,True,3596
15,UFZ,CRS 2000-B,11.06566796,47.8289478500001,True,False,2019-07-04 13:59:00,2019-07-09 10:00:00,1300,2000,,,0.871,type average,True,
16,FZJ,CRS 2000-B,11.0684663287715,47.8260070727244,True,True,2019-05-23 09:00:00,2019-05-27 08:00:00,1500,2500,,1.148,1.148,1 x calibrator,True,3531
17,FZJ,CRS 2000-B,11.06209218,47.8331505300001,True,True,2019-07-10 13:41:00,2019-07-16 12:21:00,1400,2400,,1.121,1.121,1 x calibrator,True,3509
18,FZJ,CRS 1000,11.0631773700001,47.8315381300001,True,True,2019-06-27 17:47:00,2019-07-03 08:25:00,500,900,,0.414,0.414,1 x calibrator,True,3541
19,FZJ,CRS 2000-B,11.0685301725738,47.828126626366,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,1300,2100,,,1.147,type average,True,3546
20,FZJ,Calibrator,-9999,-9999,False,False,1900-01-01 00:00:00,1900-01-01 00:00:00,-9999,-9999,,,1,self,False,
21,GFZ,CRS 2000-B,11.0637587300001,47.8243742400001,True,False,1900-01-01 00:00:00,1900-01-01 00:00:00,1400,2200,1.132,,1.132,1 x calibrator,True,3527
22,GFZ,CRS 2000-B,11.0662336169026,47.8264421791155,True,True,2019-05-22 08:00:00,2019-05-23 09:00:00,1200,2100,1.161,1.174,1.168,2 x calibrator,True,3575
23,HMZ,CRS 2000-B,11.06612734,47.8324182600001,True,True,2019-06-24 11:25:00,2019-06-25 11:41:00,1300,2100,,1.127,1.127,1 x calibrator,True,3612
24,HMZ,CRS 2000-B,11.06023751,47.83053906,True,True,2019-06-26 16:57:00,2019-06-27 17:01:00,1700,2600,,1.138,1.138,1 x calibrator,True,3534
25,KIT,CRS 1000-B,11.0595039300001,47.83220815,True,True,2019-06-03 13:50:00,2019-06-04 15:38:00,900,1500,,0.665,0.665,1 x calibrator,True,3602
