id,institution,type,lon,lat,hasdata,hascal,calstart,calend,mincph,maxcph,calfactjfc1
1,UP,CRS 2000-B,12.9583317400021,52.4664062086617,True,True,2019-11-21 11:30:00,2019-12-05 12:35:00,1400,3000,1.143399
2,UP,CRS 1000,12.9562361458478,52.4661617321537,True,True,2019-10-15 11:40:00,2019-10-22 10:20:00,500,1100,0.436303
4,UP,Lab-C,12.9578751175396,52.4671252316586,True,True,2020-01-10 10:57:00,2020-01-13 11:56:00,5000,11000,4.554603
9,UFZ,Styx Neutronica,12.9575295950403,52.4653568576109,False,True,2019-12-11 09:10:00,2019-12-12 10:10:00,-9999,-9999,NaN
11,UFZ,Styx Neutronica,12.9591993194793,52.4664564385442,False,True,2019-12-17 14:40:00,2019-12-19 10:38:00,-9999,-9999,NaN
12,UFZ,Styx Neutronica,12.9583283506452,52.4674790361558,False,False,2020-01-13 11:56:00,2020-01-13 11:56:00,-9999,-9999,NaN
13,UFZ,Styx Neutronica,12.9592217145775,52.4657632191584,False,True,2020-01-09 09:36:00,2020-01-10 10:32:00,-9999,-9999,NaN
21,GFZ,CRS 2000-B,12.9574862584772,52.4658381036229,True,True,2019-12-05 12:35:00,2019-12-11 09:10:00,1400,3000,1.143399
22,GFZ,CRS 2000-B,12.9585710799963,52.4655704453939,True,True,2019-11-07 14:10:00,2019-11-21 11:30:00,1400,3000,1.168573
26,UP,CRS 1000/Lab-C,12.957378133012,52.4664535955883,True,True,2019-10-22 10:50:00,2019-11-04 11:45:00,400,1200,0.436303
27,UP,CRS 1000/Lab-C,12.9569787904119,52.4668381498161,True,True,2019-12-12 10:37:00,2019-12-17 14:00:00,400,1200,0.459029
28,UP,CRS 1000,12.9580978048706,52.4652258235055,True,True,2019-11-04 13:06:00,2019-11-07 13:00:00,400,1200,0.436303
